id,Global,Country,City,Mission,PrimaryCollegeOrSchool,PrimaryDepartmentOrCenter,ContactName,ContactEmail,ContactPosition,ProjectAcronym,ProjectTitle,ProjectWebsite,InternationalNetwork,InternationalInstitution,PrimaryFundingAgency,IRB,LOA,DTA,MOU,MTA,OtherAgreementType,NumStudentsTraveled,NumResidentsTraineesTraveled,NumFacultyInvolved,StartYear,EndYear,Description,Location,latitude,longitude
86,No,Finland,,Research,Colorado School of Public Health,,Norris (PI: Marian Rewers),,,,,,,,,,,,,,,,,,,,"Multi-national Prospective Cohort study for the development of islet autoimmunity and type 1 diabetes in at-risk children. Sites in Finland, Sweden, Germany and the US.",Finland,64.5225128,26.15883438
87,No,France,Lyon,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Lyon, France (Europe) Start Date: 08/27/2022 - End Date: 09/03/2022","Lyon, France",45.76950679,4.8300814
88,No,French Polynesia,Papeete,Service/Clinical,Colorado School of Public Health,,Thomas Jaenisch,,,,,,,"Institut Louis Malarde, Papeete, Tahiti, French Polynesia (Contact: Van Mai Lormeau)",,,,,,,,,,,,,"This is a project funded by the Eur. Commission, focused on preparedness of infectious disease cohorts in LMIC","Papeete, French Polynesia",-17.5372634,-149.5660301
89,No,French Polynesia,Papeete,Service/Clinical,Colorado School of Public Health,,,,,,,,,"Institut Louis Malarde, Papeete, Tahiti, French Polynesia (Contact: Van Mai Lormeau)",,,,,,,,,,,,,"This is a project funded by the Eur. Commission, focused on preparedness of infectious disease cohorts in LMIC","Papeete, French Polynesia",-17.5372634,-149.5660301
90,No,Germany,,Education,College of Nursing,,Krista Neu,,,,,,,LANDSTUHL REGIONAL MEDICAL CENTER,,,,,,,,,,,,,,Germany,51.11063105,10.39227793
91,No,Germany,,Research,Colorado School of Public Health,,Norris (PI: Marian Rewers),,,,,,,,,,,,,,,,,,,,"Multi-national Prospective Cohort study for the development of islet autoimmunity and type 1 diabetes in at-risk children. Sites in Finland, Sweden, Germany and the US.",Germany,51.11063105,10.39227793
92,No,Germany,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Apotheke im Hauptbahnhof,,,,,,,,,,,,,Affiliation Agreement,Germany,51.11063105,10.39227793
93,No,Ghana,Cape Coast,Education,Colorado School of Public Health,Environmental and Occ Hlth,"Jodie Malhotra, used to be Kari Franson",,,,,,,UNIVERSITY OF CAPE COAST COLLEGE OF HEALTH AND ALLIED SCIENCES,,,,,,,,,,,,,Education exchange,"Cape Coast, Ghana",5.121847,-1.2718277
94,No,Ghana,Accra,Education,Colorado School of Public Health,Environmental and Occ Hlth,,,,,,,,,,,,,,,,,,,,,"Accra, Ghana (Africa) Start Date: 02/13/2022 - End Date: 03/29/2022","Accra, Ghana",5.5547232,-0.2209723
95,No,Ghana,Accra,Education,Colorado School of Public Health,Environmental and Occ Hlth,Elizabeth Carlton,,,,,,,The Noguchi Memorial Institute for Medical Research at the University of Ghana,,,,,,,,,,,,,,"Accra, Ghana",5.5547232,-0.2209723
96,No,Ghana,,Education,School of Medicine,Emergency Med,Emilie J. Calvello Hines,,,,,,,As Needed,,,,,,,,,,,,,"Disaster relief, tied with WHO and African Federation for Emergency Medicine. Https://coloradoglobalem.org. Other major activities: fellowship, robust resident track, attending opportunities",Ghana,7.980995107,-1.249772342
97,No,Ghana,,Service/Clinical,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,VRA Hospital,,,,,,,,,,,,,Affilation Agreement,Ghana,7.980995107,-1.249772342
98,No,Greece,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,,,,,,,,,,,,,,"Our Program offers ELPD students an opportunity to go international for a 6-week rotation if desired. Covid hampered this program for a few years, but the class of 2024 is back in normal with travel and opportunity. We don't have a set partnering instituion, and we have sent students to recurring sites and ""one-off"" sites in the past. We work with the Campus Global Services to ensure the students are follwoing campus travel guidelines as far as allowed locations and submitting the application so that campus knows when and where they are going and with whom they are rotating with. The class of 2024 has 17 students completing an international rotation in 10 different countries this year. We are working on building a network of known collaborative sites and offering those, versus networking ""one-off"" sites every year. The ten countries represented by this class cohort are Australia, Canada, Costa Rica, Greece, South Korea, Guatemala, New Zealand, Ireland and Japan.",Greece,39,22
99,No,Greece,Patras,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,University of Patras,,,,,,,,,,,,,Affiliation Agreement,"Patras, Greece",38.2462143,21.7350693
100,No,Greece,Patras,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,University of Patras,,,,,,,,,,,,,"International Student Travel. Patras, Greece (Europe) Start Date: 01/05/2022 - End Date: 02/20/2022","Patras, Greece",38.2462143,21.7350693
101,No,Guatemala,,Research,College of Nursing,,Rosario Medina,,,,,,,Fundacion Para la Salud Integral de los Guatemaltecos,,,,,,,,,,,,,"Impact of provider cultural humility on patient outcomes; Grad: FNP, WHNP, Midwifery,Pediatrics, Mental Health, Adult Gero & Acute Care NPs",Guatemala,14.64198,-90.51324
102,No,Guatemala,Trifinio,Education,College of Nursing,,Megan Champion G,,,,,,,Fundacion Para la Salud Integral de los Guatemaltecos,,,,,,,,,,,,,Monthly trainings led by CU faculty directed towards learning priorities of the Guatemalan nurses,"Trifinio, Guatemala",14.64198,-90.51324
103,No,Guatemala,Trifinio,Education,College of Nursing,,Jennifer Fisher; Jennifer Daily-Vail,,,,,,,Fundacion Para la Salud Integral de los Guatemaltecos,,,,,,,,,,,,,,"Trifinio, Guatemala",14.64198,-90.51324
104,No,Guatemala,Trifinio,Education,College of Nursing,,Jennifer Rosen,,,,,,,Fundacion Para la Salud Integral de los Guatemaltecos,,,,,,,,,,,,,Curriculum Development for APRNS,"Trifinio, Guatemala",14.64198,-90.51324
105,No,Guatemala,Guatemala City,Education,College of Nursing,,Melisa Jaenisch,,,,,,,Fundacion Para la Salud Integral de los Guatemaltecos,,,,,,,,,,,,,Creciendo Sanos - Nurse home visiting program providing education and basic screenings for pregnant women and new mothers in 12 rural Guatemalan communities.,"Guatemala City, Guatemala",14.64198,-90.51324
106,No,Guatemala,Guatemala City,Education,College of Nursing,,Lyndsay Krisher,,,,,,,Universidad de San Carlos de Guatemala,,,,,,,,,,,,,,"Guatemala City, Guatemala",14.64198,-90.51324
107,No,Guatemala,,Research,College of Nursing,,Butler-Dawson (PI); Jared Brown,,,,,,,,,,,,,,,,,,,,"K01 ES032015 Women's airborne exposure and kidney health in Guatemala. The study is directed at increasing the fundamental understanding of the causes and prevention strategies of chronic kidney disease of unknown origin (CKDu) in Latin America. The studyâ€™s inclusion of examining exposure to particulate matter and its constituents (i.e., heavy metals), organic pollutants, and a renal biomarker of effect among females in Guatemala will advance our ability to identify factors that put individuals at risk for the development of CKDu. It is a ""career development award.""",Guatemala,14.64198,-90.51324
108,No,Guatemala,Coatepeque,Education,College of Nursing,,,,,,,,,FSIG,,,,,,,,,,,,,"Internatonal Student Travel: Coatepeque, Guatemala (Central America and the Caribbean) Start Date: 02/05/2023 - End Date: 02/18/2023","Coatepeque, Guatemala",14.70413,-91.86426
109,No,Guatemala,Retalhuleu,Service/Clinical,Colorado School of Public Health,Center For Global Health,"Asturias, Melisa Jaenisch, Pam Prag",,,,,,,Fundacion Para la Salud Integral de los Guatemaltecos,,,,,,,,,,,,,Creciendo Sanos - Nurse home visiting program providing education and basic screenings for pregnant women and new mothers in 12 rural Guatemalan communities.,"Retalhuleu, Guatemala",14.53611,-91.67778
110,No,Guatemala,Trifinio,Research,Colorado School of Public Health,Community and Behavioral Hlt,Cherewick (PI: Asturias),,,,,,,Fundacion Para la Salud Integral de los Guatemaltecos,,,,,,,,,,,,,"Creciendo Sanos: Research to support program evaluation and quality improvement of malnutrition, mental health, adolescent health programs in Guatemala","Trifinio, Guatemala",14.64198,-90.51324
111,No,Guatemala,Quetzaltenango,Education,Colorado School of Public Health,,,,,,,,,Fundacion Para la Salud Integral de los Guatemaltecos,,,,,,,,,,,,,"International Student Travel. Quetzaltenango, Guatemala (Central America and the Caribbean) Start Date: 06/02/2021 - End Date: 07/20/2021","Quetzaltenango, Guatemala",14.83472,-91.51806
112,No,Guatemala,Guatemala City,Education,Colorado School of Public Health,Ctr for Healthwork and Envir,Mary Moua,,,,,,,Universidad del Valle de Guatemala - Renewal,,,,,,,,,,,,,,"Guatemala City, Guatemala",14.64198,-90.51324
113,No,Guatemala,Fraijanes,Education,Colorado School of Public Health,,,,,,,,,Universidad del Istmo,,,,,,,,,,,,,,"Fraijanes, Guatemala",14.46528,-90.44083
114,No,Guatemala,,Research,Colorado School of Public Health,Center For Global Health,Dr. Daniel Olson,,,,,,,"FSIG (Guatemala), University of the Valley of Guatemala.",,,,,,,,,,,,,"Running 10 projects with varying partners in Guatemala. One example: An observational study evaluating changing anti-DENV IgG seroprevalence and risk factors within an existing farm worker cohort and cross-sectional school-based survey in a dengue-endemic region of southwest Guatemala. Also, Dengue Seroepidemiology in School Aged Children and Agricultural Workers in Guatemala. Also working on SARS-CoV-2, norovirus in maternal-child interface, and infectious disease knowledge.",Guatemala,14.64198,-90.51324
115,No,Guatemala,,Research,Colorado School of Public Health,Center For Global Health,Dr. Edwin Asturias,,,,,,,FSIG,,,,,,,,,,,,,Long Term Cognitive Effects of Infant Microcephaly and Stunting in Preschool and Early School Age Children in Rural Guatemala. Preterm Infant Seroepidemiology Study in Guatemala. SEROTYPE DISTRIBUTION OF STREPTOCOCCUS PNEUMONIA IN COMMUNITY-ACQUIRED PNEUMONIA IN HOSPITALIZED ADULTS â‰¥18 YEARS OF AGE IN THE UNITED STATES,Guatemala,14.64198,-90.51324
116,No,Guatemala,Guatemala City,Education,Colorado School of Public Health,,Meredith Fort (formerly Michele Shiver),,,,,,,Universidad Rafael Landivar,,,,,,,,,,,,,Collaborative Teaching,"Guatemala City, Guatemala",14.64198,-90.51324
117,No,Guatemala,Escuintla,Education,Colorado School of Public Health,,,,,,,,,FSIG,,,,,,,,,,,,,"International Student Travel. Escuintla, Guatemala (Central America and the Caribbean) Start Date: 02/12/2022 - End Date: 02/26/2022","Escuintla, Guatemala",14.3009,-90.78581
118,No,Guatemala,,Research,Colorado School of Public Health,Ctr for Healthwork and Envir,Butler-Dawson (PI),,,,,,,,,,,,,,,,,,,,"K01 ES032015 Women's airborne exposure and kidney health in Guatemala: The study is directed at increasing the fundamental understanding of the causes and prevention strategies of chronic kidney disease of unknown origin (CKDu) in Latin America. The studyâ€™s inclusion of examining exposure to particulate matter and its constituents (i.e., heavy metals), organic pollutants, and a renal biomarker of effect among females in Guatemala will advance our ability to identify factors that put individuals at risk for the development of CKDu. It is a ""career development award.""",Guatemala,14.64198,-90.51324
119,No,Guatemala,,Research,Colorado School of Public Health,Ctr for Healthwork and Envir,"Newman (PI) (CHWE/EHOH) Adgate (EHOH), Butler-Dawson, Dally, Krisher, James, (CHWE/EHOH) Co-I, Schaeffer (CSU) Co-I, Ghosh (Bios) Co-I; R. Johnson (SOM-Renal) Co-I",,,,,,,,,,,,,,,,,,,,"The overall goal of this project is understanding of the causes, mechanisms, and potential strategies for prevention of the international epidemic of chronic kidney disease of unknown origin (CKDu) in females working in agriculture and living in agricultural communities sugarcane workers in Guatemala and Mexico.",Guatemala,14.64198,-90.51324
120,No,Guatemala,Trifinio/Los Encuentros,Service/Clinical,Colorado School of Public Health,Center For Global Health,Melisa Jaenisch and Mirella Barrientos,,,,,,,"FUNSALUD and Peter Durst, AgroAmerica, Rowen Family",,,,,,,,,,,,,"(FUNSALUD)PROGRESAN - Malnutrition community based program serving children 6-59 months old. Provides education and nutritional support to children with actue and chronic malnutrition. Also, FUNSALUD - Provides support for ALMA (maternal mental health), Adolescent mothers, and Ninos Sanos nurse home visiting program for children (0-24 months) providing basic health screening and education.","Trifinio/Los Encuentros, Guatemala",15.58612,-89.78366
121,No,Guatemala,Quetzaltenango,Education,School of Medicine,,Claudia Luna Asturias,,,,,,,Fundacion Para la Salud Integral de los Guatemaltecos,,,,,,,,,,,,,"International Student Travel. Quetzaltenango, Guatemala (Central America and the Caribbean) Start Date: 05/15/2023 - End Date: 08/31/2023","Quetzaltenango, Guatemala",14.83472,-91.51806
122,No,Guatemala,Coatepeque,Education,School of Medicine,GME,,,,,,,,FSIG,,,,,,,,,,,,,"International student travel. Coatepeque, Guatemala (Central America and the Caribbean) Start Date: 03/01/2022 - End Date: 03/30/2022","Coatepeque, Guatemala",14.70413,-91.86426
123,No,Guatemala,Tecpan,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Tecpan Guatemala, Guatemala (Latin America) Start Date: 06/01/2023 - End Date: 06/22/2023","Tecpan, Guatemala",14.76181,-90.99247
124,No,Guatemala,Guatemala City,Service/Clinical,School of Medicine,Pediatrics,"Marilyn Manco-Johnston (HTC) and Sandra Luna-Fineman (CCBC, CHCO) (Co-Director",,,,,,,"National Pediatric Oncology Unit, Guatemala City, Guatemala",,,,,,,,,,,,,"Education in Ped non-nmalingant hematology for fellows from National Pediatric Oncology Unit, Guatemala, Guatemala","Guatemala City, Guatemala",14.64198,-90.51324
125,No,Guatemala,Guatemala City,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Guatemala City, Guatemala (Central America) Start Date: 02/28/2022 - End Date: 03/27/2022","Guatemala City, Guatemala",14.64198,-90.51324
126,No,Guatemala,Guatemala City,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"Unidad Nacional de Oncologia Pediatrica (UNOP) and School of Medicine, Universidad Francisco Marroquin",,,,,,,,,,,,,Non-malignant hematology rotation of Hem/Onco fellows from Guatemala (International ACGME accredited institution),"Guatemala City, Guatemala",14.64198,-90.51324
127,No,Guatemala,Guatemala City,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"Unidad Nacional de Oncologia Pediatrica (UNOP) and School of Medicine, Universidad Francisco Marroquin",,,,,,,,,,,,,"Solid Tumor Board for diagnosis, management and outcomes, as part of the International ACGME fellowship on Pediatric Hematology/Oncology (q 2 weeks)","Guatemala City, Guatemala",14.64198,-90.51324
128,No,Guatemala,,Research,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,"Support as a mentor on the Implementation of standard therapies for childhood cancers: retinoblastoma, Hodgkin lymphoma, Wilms tumor, neuroblastoma, rhabdomyosarcoma, Burkitt lymphoma",Guatemala,14.64198,-90.51324
129,No,Guatemala,,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,Guatemala,14.64198,-90.51324
130,No,Guatemala,,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,Guatemala,14.64198,-90.51324
131,No,Guatemala,,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"GALOP Argentina, GRACCO Brazil",,,,,,,,,,,,,"Online Retinoblastoma tumor board, meets weekly.",Guatemala,14.64198,-90.51324
132,No,Guatemala,Escuintla,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Escuintla, Guatemala (Central America and the Caribbean) Start Date: 03/16/2022 - End Date: 03/27/2022","Escuintla, Guatemala",14.3009,-90.78581
133,No,Guatemala,Antigua,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Antigua, Guatemala (South America) Start Date: 06/05/2023 - End Date: 08/31/2023","Antigua, Guatemala",14.56111,-90.73444
134,No,Guatemala,,Education,School of Medicine,,Ali Musani and Reem Hana,,,,,,,Partnership with Bicol Clinic Foundation,,,,,,,,,,,,,"Resident, fellow and faculty exchange programs, subspecialty program development, working with Project CURE to establish critical care units, dialysis, and brochoscopy programs",Guatemala,14.64198,-90.51324
135,No,Guatemala,Trifinio,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,FSIG,,,,,,,,,,,,,"Our Program offers ELPD students an opportunity to go international for a 6-week rotation if desired. Covid hampered this program for a few years, but the class of 2024 is back in normal with travel and opportunity. We don't have a set partnering instituion, and we have sent students to recurring sites and ""one-off"" sites in the past. We work with the Campus Global Services to ensure the students are follwoing campus travel guidelines as far as allowed locations and submitting the application so that campus knows when and where they are going and with whom they are rotating with. The class of 2024 has 17 students completing an international rotation in 10 different countries this year. We are working on building a network of known collaborative sites and offering those, versus networking ""one-off"" sites every year. The ten countries represented by this class cohort are Australia, Canada, Costa Rica, Greece, South Korea, Guatemala, New Zealand, Ireland and Japan.","Trifinio, Guatemala",14.64198,-90.51324
136,No,Guatemala,Guatemala City,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Jodie Malhotra,,,,,,,Universidad de San Carlos de Guatamela,,,,,,,,,,,,,Guatemala - Universidad de San Carlos de Guatamela,"Guatemala City, Guatemala",14.64198,-90.51324
137,No,Guatemala,Trifinio,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,CGH,,,,,,,FSIG,,,,,,,,,,,,,Affiliation Agreement; Trifinio Clinic,"Trifinio, Guatemala",14.64198,-90.51324
138,No,Haiti,Port-au-Prince,Education,College of Nursing,,"Pam Prag, Laura Rosenthal",,,,,,,State University of Haiti,,,,,,,,,,,,,CU Faculty teaching FNP students in Haiti remotely,"Port-au-Prince, Haiti",18.54349,-72.33881
139,No,Honduras,Roatan,Education,School of Dental Medicine,,"Bruce Dye, DDS, MPH",,,,,,,Clinica Esperanza Roatan,,,,,,,,,,,,,"Faculty-led international service learning opportunity for dental students to learn about the oral health care delivery system in a low-income country and to participate in service and care delivery in partnership with Clinica Esperanza Roatan (Honduras), a non-profit medical clinic providng care to the underserved.","Roatan, Honduras",16.32257,-86.53545
140,No,Honduras,San Pedro Sula,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. San Pedro Sula, Honduras (Central America) Start Date: 04/22/2023 - End Date: 04/29/2023","San Pedro Sula, Honduras",15.50523,-88.02497
141,No,Honduras,San Pedro Sula,Research,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,"Support as a mentor on the Implementation of standard therapies for childhood cancers: retinoblastoma, Hodgkin lymphoma, Wilms tumor, neuroblastoma, rhabdomyosarcoma, Burkitt lymphoma","San Pedro Sula, Honduras",15.50523,-88.02497
142,No,Honduras,San Pedro Sula,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"San Pedro Sula, Honduras",15.50523,-88.02497
143,No,Honduras,San Pedro Sula,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"San Pedro Sula, Honduras",15.50523,-88.02497
144,No,Honduras,San Pedro Sula,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"GALOP Argentina, GRACCO Brazil",,,,,,,,,,,,,"Online Retinoblastoma tumor board, meets weekly.","San Pedro Sula, Honduras",15.50523,-88.02497
145,No,Honduras,Tegucigalpa,Research,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,"Support as a mentor on the Implementation of standard therapies for childhood cancers: retinoblastoma, Hodgkin lymphoma, Wilms tumor, neuroblastoma, rhabdomyosarcoma, Burkitt lymphoma","Tegucigalpa, Honduras",14.10576,-87.2042
146,No,Honduras,Tegucigalpa,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"Tegucigalpa, Honduras",14.10576,-87.2042
147,No,Honduras,Tegucigalpa,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"Tegucigalpa, Honduras",14.10576,-87.2042
148,No,Honduras,Tegucigalpa,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"GALOP Argentina, GRACCO Brazil",,,,,,,,,,,,,"Online Retinoblastoma tumor board, meets weekly.","Tegucigalpa, Honduras",14.10576,-87.2042
149,No,Hungary,Szeged,Education,Colorado School of Public Health,,Karen Caplovitz Barrett (CSU),,,,,,,University of Szeged,,,,,,,,,,,,,"Young children's motivation, self-control, and participation in daily activities -- Fullbright Scholarship: Grant from Hungarian Government to Krisztian Jozsa (Barrett is co-PI for International Collaboration). Jozsa is at University of Szeged","Szeged, Hungary",46.2536166,20.1461353
150,No,India,Vellore,Education,Colorado School of Public Health,,Eric Simoes,,,,,,,Christian Medical College Hospital Vellore India & International Asthma Services,,,,,,,,,,,,,,"Vellore, India",12.9214693,79.1315625
151,No,India,Amaravati,Education,Colorado School of Public Health,,Eric Simoes,,,,,,,"Meditation, De-addiction, Health, AIDS, Nutrition Trust",,,,,,,,,,,,,,"Amaravati, India",16.514,80.516
152,No,India,Chennai,Education,Colorado School of Public Health,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Chennai, India (Asia) Start Date: 06/23/2022 - End Date: 07/28/2022","Chennai, India",13.0720922,80.2018554
153,No,India,Darjeeling,Research,Colorado School of Public Health,Community and Behavioral Hlt,Megan Cherewick,,,,,,,Broadleaf Health and Education Alliance and Darjeeling Ladenla Road Prerna,,,,,,,,,,,,,"Darjeeling Early Adolescent Study and Tealeaf Neurodiversity: Mixed-methods study of protective and promotive factors for mental health and wellbeing among early adolescents ages 10-14 in Darjeeling, India. Partnered with Broadleaf Health and Education Alliance and Darjeeling Ladenla Road Prerna. ALSO, Design of a school-teacher training in neurodiversity to empower teachers to support autistic and neurodiverse children in Darjeeling, India Partned with University of North Carolina, Broadleaf Health and Education Alliance and Darjeeling Ladenla Road Prerna","Darjeeling, India",26.85324541,88.2665909
154,No,India,Darjeeling,Research,Colorado School of Public Health,,Michael Matergia (PI) and Molly Lamb,,,,,,,"Darjeeling, India",,,,,,,,,,,,,"Child health education and monitoring in schools; pediatric mental health in Darjeeling, India","Darjeeling, India",26.85324541,88.2665909
155,No,India,,Education,Colorado School of Public Health,Center For Global Health,Dr. Stephen Berman,,,,,,,Broadleaf Health and Education Alliance,,,,,,,,,,,,,Working with Broadleaf Health and Edu Alliance (incorp in the State of Pennsylvania) to unlock human potential in Eastern Himalayas thorough community-led innovations in health and edu.,India,23.37937974,79.44332655
156,No,India,Rishikesh,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Rishikesh, India (Asia) Start Date: 02/26/2023 - End Date: 03/26/2023","Rishikesh, India",30.1077,78.287804
157,No,India,Delhi,Education,School of Medicine,,Ali Musani and Reem Hana,,,,,,,All India Institute of Medical Sciences; partnership with Bicol Clinic Foundation,,,,,,,,,,,,,"Resident, fellow and faculty exchange programs, subspecialty program development, working with Project CURE to establish critical care units, dialysis, and brochoscopy programs","Delhi, India",28.6324252,77.218791
158,No,India,Mumbai,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Danashmand Organic Pvt Ltd,,,,,,,,,,,,,Affiliation agreement with Danashmand Organic Pvt Ltd,"Mumbai, India",18.9690472,72.8211807
159,No,Indonesia,Banjarmasin,Education,Colorado School of Public Health,,Dr. Stephen Berman,,,,,,,Lambung Mangkurat University,,,,,,,,,,,,,,"Banjarmasin, Indonesia",-3.316819,114.5896233
160,No,Indonesia,Banjarbaru,Education,Colorado School of Public Health,,Dr. Stephen Berman,,,,,,,Lambung Mangkurat University,,,,,,,,,,,,,,"Banjarbaru, Indonesia",-3.4407077,114.7439269
161,No,Indonesia,Ambon Maluku,Education,Colorado School of Public Health,,Dr. Stephen Berman,,,,,,,Pattimura University,,,,,,,,,,,,,,"Ambon Maluku, Indonesia",-3.694426,128.181299
162,No,Indonesia,Banda Aceh,Education,Colorado School of Public Health,,Dr. Stephen Berman,,,,,,,Syiah Kuala University,,,,,,,,,,,,,,"Banda Aceh, Indonesia",5.5535597,95.3176803
163,No,Indonesia,West Nusa Tenggara,Education,Colorado School of Public Health,,Dr. Stephen Berman,,,,,,,University of Mataram,,,,,,,,,,,,,,"West Nusa Tenggara, Indonesia",-8.606654465,117.5072283
164,No,Ireland,Dublin,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Jodie Malhotra (formerly Kari Franson),,,,,,,"University of Dublin, Trinity College of Dublin",,,,,,,,,,,,,"Education Exchange w/University of Dublin, Trinity College of Dublin","Dublin, Ireland",53.3440956,-6.2674862
165,No,Ireland,Dublin,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Mercy University Hospital Cork and Trinity College,,,,,,,,,,,,,"Ireland - Trinity College, University Hospital Galway, and Mercy University Hospital Cork - Pharmacy Department","Dublin, Ireland",53.3440956,-6.2674862
166,No,Ireland,Galway,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Mercy University Hospital Cork and Trinity College,,,,,,,,,,,,,"Ireland - Trinity College, University Hospital Galway, and Mercy University Hospital Cork - Pharmacy Department","Galway, Ireland",53.2737969,-9.0517799
167,No,Ireland,Cork,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Mercy University Hospital Cork and Trinity College,,,,,,,,,,,,,"Ireland - Trinity College, University Hospital Galway, and Mercy University Hospital Cork - Pharmacy Department","Cork, Ireland",51.8978719,-8.4710874
168,No,Ireland,Galway,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Galway, Ireland (Europe) Start Date: 04/02/2023 - End Date: 05/13/2023","Galway, Ireland",53.2737969,-9.0517799
169,No,Ireland,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,,,,,,,,,,,,,,"Our Program offers ELPD students an opportunity to go international for a 6-week rotation if desired. Covid hampered this program for a few years, but the class of 2024 is back in normal with travel and opportunity. We don't have a set partnering instituion, and we have sent students to recurring sites and ""one-off"" sites in the past. We work with the Campus Global Services to ensure the students are follwoing campus travel guidelines as far as allowed locations and submitting the application so that campus knows when and where they are going and with whom they are rotating with. The class of 2024 has 17 students completing an international rotation in 10 different countries this year. We are working on building a network of known collaborative sites and offering those, versus networking ""one-off"" sites every year. The ten countries represented by this class cohort are Australia, Canada, Costa Rica, Greece, South Korea, Guatemala, New Zealand, Ireland and Japan.",Ireland,53.17587985,-8.146006147
